week,quantity,revenue
2010-12-06,43072,115987.59980429293
2010-12-13,95929,207536.66909632034
2010-12-20,28398,75945.57636507937
2010-12-27,0,0.0
2011-01-03,65830,123899.36073737373
2011-01-10,66225,154492.07654545453
2011-01-17,123456,187120.78357020757
2011-01-24,49108,103303.44277164502
2011-01-31,62145,116615.38749747475
2011-02-07,44054,98939.21866666667
2011-02-14,61605,116305.26768722944
2011-02-21,63672,122351.3405631313
2011-02-28,50351,99952.40244047619
2011-03-07,59244,122193.83897005772
2011-03-14,73622,146294.4952784993
2011-03-21,68429,140052.68491847042
2011-03-28,83645,160378.71149186924
2011-04-04,56234,109007.59614683928
2011-04-11,80915,138496.797495227
2011-04-18,69889,145631.8617108049
2011-04-25,48476,83913.67374278499
2011-05-02,68706,131893.31714296815
2011-05-09,78261,172474.19038777266
2011-05-16,89031,195798.39151459897
2011-05-23,71797,151101.26627020203
2011-05-30,48136,105896.0866491564
2011-06-06,83452,205260.39119719682
2011-06-13,72193,148136.07289016538
2011-06-20,61120,117209.41871128218
2011-06-27,58767,116806.82778174603
2011-07-04,81767,179963.5193953824
2011-07-11,66848,120198.99434126985
2011-07-18,91299,166029.9905965146
2011-07-25,82899,153524.72876551226
2011-08-01,90319,157666.50969205794
2011-08-08,67088,145517.42442027418
2011-08-15,75030,134563.23842496393
2011-08-22,80016,137634.36987301588
2011-08-29,65504,138476.3306995782
2011-09-05,89541,160880.81488059164
2011-09-12,106910,227898.017760212
2011-09-19,134761,291726.768529082
2011-09-26,108431,201217.45407761683
2011-10-03,147864,296719.40038075816
2011-10-10,96490,195965.42147727273
2011-10-17,103483,207705.94610880787
2011-10-24,126788,221081.44462112887
2011-10-31,140736,285365.3504321373
2011-11-07,159601,329378.3172509083
2011-11-14,156685,327111.6762425053
2011-11-21,133562,288527.59655205905
2011-11-28,138909,306292.91654656205
2011-12-05,223589,490961.0061553159
